record_id,schema_version,record_type,related_record_id,diffusant,diffusant_isotope,diffusant_valence,co_diffusant,diffusion_type,diffusion_type_qualifier,reference_frame,host_type,host_name,host_ima_name,host_formula,host_endmember,host_group,host_origin,crystallographic_direction,anisotropy_flag,polycrystal_flag,composition_as_reported,composition_basis,sio2_wt_pct,tio2_wt_pct,al2o3_wt_pct,cr2o3_wt_pct,feot_wt_pct,feo_wt_pct,fe2o3_wt_pct,mno_wt_pct,mgo_wt_pct,cao_wt_pct,na2o_wt_pct,k2o_wt_pct,p2o5_wt_pct,nio_wt_pct,other_oxides,mg_number,nbo_t,composition_notes,hydrous_flag,h2o_wt_pct,h2o_wt_pct_min,h2o_wt_pct_max,a_h2o,water_notes,t_k,t_min_k,t_max_k,t_original_value,t_original_unit,p_pa,p_min_pa,p_max_pa,p_original_value,p_original_unit,fo2_buffer,fo2_buffer_offset,log10_fo2_bar,fo2_constraint,apparatus,duration_s,d0_m2_s,log10_d0_m2_s,d0_unc_log10,d0_unc_type,d0_original_value,d0_original_unit,ea_j_mol,ea_unc_j_mol,ea_unc_type,ea_original_value,ea_original_unit,activation_volume_m3_mol,activation_volume_unc_m3_mol,activation_volume_original_value,activation_volume_original_unit,arrhenius_equation_form,gas_constant_used_j_mol_k,d_m2_s,log10_d_m2_s,d_unc_log10,d_unc_type,d_original_value,d_original_unit,n_experiments,n_temperature_points,fit_r_squared,method,experiment_geometry,analytical_technique,direct_measurement_flag,grain_boundary_contribution,concentration_dependent_flag,mixed_md_experiment_flag,quality_flag,t_calibration_notes,caveats,notes,extracted_from,compiler,compilation_date,review_status,citation_key,authors,year,title,journal,volume,pages,doi,source_locus
DDB000001,1.0.0,arrhenius_fit,DDB000002,Fe,,,Mg,interdiffusion,none,lattice,mineral,Orthopyroxene,enstatite,"(Mg,Fe)2Si2O6",Fs9,pyroxene,natural,[001],true,false,OPX7 Tanzania: SiO2=58.08;MgO=34.91;FeO=6.37;MnO=0.24;CaO=0.13;Al2O3=0.10;TiO2=0.04;Na2O=0.02;K2O=0.01;Cr2O3=0.02 wt%; En90.1 Fs9.2 (Table 1 batch 1),wt_pct_oxide,58.08,0.04,0.10,0.02,6.37,6.37,,0.24,34.91,0.13,0.02,0.01,,,,90.1,,EPMA of starting crystal OPX7; Fe as FeO; En-Fs from Table 1.,false,,,,,,,1143.15,1373.15,870,C,101325,101325,101325,1,atm,measured,,,gas_mix,gas_mixing_furnace,,1.12e-06,-5.95,0.83,unknown,1.12e-6,m2/s,308000,23000,unknown,308,kJ/mol,,,,,D=D0*exp(-Ea/RT),8.314,,,,,,,,,,RBS,thin_film,RBS,true,none,true,false,recommended,Fit 870–1100 C at 1 atm along [001] for Fs9. fO2 (CO-CO2) 1e-11 to 1e-7 Pa.,"Published law is D = 1.12e-6 *(fO2/Pa)^0.053 * exp(-Ea/RT). Stored D0 is the prefactor at fO2 = 1 Pa (log10 D0 = -5.95), not a buffer-specific D0. Weak n=0.053±0.027. Thin-film RBS; possible convolution. Draft: MSA public-access PDF (revision 1).","provenance=post2010_new; R unstated, compiler 8.314. Related Fs1 row DDB000002 (no fO2 term). PDF-QA 2026-08-31: MATCH vs MSA public-access PDF AM101P2210 Eq.1 / abstract (D0=1.12e-6 m2/s at fO2=1 Pa, n=0.053, Ea=308±23 kJ/mol, 870–1100 C, [001], Fs9).",equation,"Holycross, M.",2026-08-31,checked,Dohmen2016,"Dohmen, R.; Ter Heege, J.H.; Becker, H.-W.; Chakraborty, S.",2016,Fe-Mg interdiffusion in orthopyroxene,American Mineralogist,101,2210-2221,10.2138/am-2016-5815,Abstract; Eq. for DFe-Mg //[001] Fs9 (MSA public-access PDF AM101P2210)
DDB000002,1.0.0,arrhenius_fit,DDB000001,Fe,,,Mg,interdiffusion,none,lattice,mineral,Orthopyroxene,enstatite,"(Mg,Fe)2Si2O6",Fs1,pyroxene,natural,[001],true,false,OPX8 Tanzania: SiO2=58.48;MgO=38.52;FeO=0.84;MnO=0.08;CaO=0.22;Al2O3=0.82;TiO2=0.02;Na2O=0.02;K2O=0.01;Cr2O3=0.01 wt%; En98.2 Fs1.2 (Table 1 batch 1),wt_pct_oxide,58.48,0.02,0.82,0.01,0.84,0.84,,0.08,38.52,0.22,0.02,0.01,,,,98.2,,EPMA of starting crystal OPX8; Fe as FeO; En-Fs from Table 1. Higher Al than OPX7.,false,,,,,,,1143.15,1373.15,870,C,101325,101325,101325,1,atm,measured,,,gas_mix,gas_mixing_furnace,,1.66e-04,-3.78,1.26,unknown,1.66e-4,m2/s,377000,30000,unknown,377,kJ/mol,,,,,D=D0*exp(-Ea/RT),8.314,,,,,,,,,,RBS,thin_film,RBS,true,none,true,false,recommended,Fit 870–1100 C at 1 atm along [001] for Fs1. No resolved fO2 dependence (PED regime).,Same thin-film + RBS method as DDB000001. Draft from MSA public-access PDF.,"provenance=post2010_new; R unstated, compiler 8.314. Authors: no fO2 term for XFe=0.01. PDF-QA 2026-08-31: MATCH vs MSA public-access PDF AM101P2210 (D0=1.66e-4 m2/s, log10D0=-3.78±1.26, Ea=377±30 kJ/mol, 870–1100 C, [001], Fs1, no fO2 term).",equation,"Holycross, M.",2026-08-31,checked,Dohmen2016,"Dohmen, R.; Ter Heege, J.H.; Becker, H.-W.; Chakraborty, S.",2016,Fe-Mg interdiffusion in orthopyroxene,American Mineralogist,101,2210-2221,10.2138/am-2016-5815,Abstract; Eq. for DFe-Mg //[001] XFe=0.01 (MSA public-access PDF AM101P2210)
DDB000003,1.0.0,arrhenius_fit,,P,,,,tracer,none,,mineral,Olivine,forsterite,"(Mg,Fe)2SiO4",San Carlos,olivine,natural,unspecified,false,false,San Carlos olivine (SCO),unspecified,,,,,,,,,,,,,,,,,,Abstract: San Carlos olivine; oxide vector not taken from abstract.,false,,,,,,,923.15,1123.15,650,C,101325,101325,101325,1,atm,NNO,,,buffered,other,,8.709636e-11,-10.06,0.80,unknown,-10.06,log10_m2/s,229000,16000,unknown,229,kJ/mol,,,,,D=D0*exp(-Ea/RT),8.314,,,,,,,,,,RBS,powder_source,RBS; NRA,true,none,false,false,use_with_caution,"Abstract: 650–850 C, near-atmospheric P. Do not treat as a magmatic-T calibration without PDF check / extrapolation warning.",Numbers from publisher abstract (units m2/s stated). Two runs at WM not separated. Short RBS/NRA profiles. Orientation not in abstract. Verify against PDF before checked.,"provenance=post2010_new; R unstated, compiler 8.314. Evacuated silica ampoules; source pre-reacted SCO + AlPO4. Paper also reports P in molten basalt (not this row). PDF-QA 2026-08-31: D0/Ea MATCH vs MSA public-access PDF AM100P2053 (log10D0=-10.06±0.80 m2/s, Ea=229±16 kJ/mol, 650–850 C, NNO). Direction still unspecified (paper: mostly //b, some //c, no resolvable anisotropy; combined fit). Melt Arrhenius not ingested. review_status left draft (INCOMPLETE metadata).",text,"Holycross, M.",2026-08-31,draft,Watson2015,"Watson, E.B.; Cherniak, D.J.; Holycross, M.E.",2015,Diffusion of phosphorus in olivine and molten basalt,American Mineralogist,100,2053-2065,10.2138/am-2015-5416,Abstract (publisher HTML 2026-08-31); PDF-check pending
DDB000004,1.0.0,arrhenius_fit,DDB000005,Li,,,,chemical,ionic,lattice,mineral,Plagioclase,labradorite,NaAlSi3O8-CaAl2Si2O8,An61,feldspar,natural,[001],true,false,natural labradorite An61 (61 mol% anorthite); couple vs synthetic An80 glass,endmember_mol_frac,,,,,,,,,,,,,,,,,,An61 crystal; oxide vector in paper Table 1 not copied this pass.,false,,,,,Nominally dry capsules; Ar pressure medium.,,879.15,1387.15,606,C,200000000,101325,400000000,200,MPa,unknown,,,unconstrained,internally_heated_pressure_vessel,,1.737801e-04,-3.76,0.58,unknown,-3.76,log10_m2/s,180000,12000,unknown,180.0,kJ/mol,,,,,D=D0*exp(-Ea/RT),8.314,,,,,,,,,,LA-ICP-MS,diffusion_couple,fs-LA-MC-ICP-MS,true,none,true,false,recommended,Crystal-side interstitial mechanism 606–1114 C; most runs 200 MPa. Authors: no resolvable P effect 0.1–400 MPa.,Chemical (not tracer) D; 1.5–2 log units slower than Giletti & Shanahan 1997. Coupled to Na; two mechanisms. Do not use this D0/Ea for the vacancy process (see DDB000005). Glass/melt Li is a separate calibration in the same paper (not this row).,"provenance=post2010_new; interstitial DLii from multispecies model (Dohmen 2010 style). Survey.md incorrectly named this Gatti et al. 2024. PDF-QA 2026-08-31: MATCH vs CC-BY PDF Eq.21 (log10D0=-3.76±0.58, Ea=180.0±12.0 kJ/mol, m2/s, 606–1114 C, [001]). Table 1 oxides not copied.",equation,"Holycross, M.",2026-08-31,checked,Pohl2024,"Pohl, F.; Behrens, H.; Oeser, M.; Marxer, F.; Dohmen, R.",2024,Li diffusion in plagioclase crystals and glasses – implications for timescales of geological processes,European Journal of Mineralogy,36,985-1003,10.5194/ejm-36-985-2024,Abstract; Eq. 21 (CC-BY HTML 2026-08-31)
DDB000005,1.0.0,arrhenius_fit,DDB000004,Li,,,,chemical,ionic,lattice,mineral,Plagioclase,labradorite,NaAlSi3O8-CaAl2Si2O8,An61,feldspar,natural,[001],true,false,natural labradorite An61 (61 mol% anorthite); couple vs synthetic An80 glass,endmember_mol_frac,,,,,,,,,,,,,,,,,,An61 crystal; oxide vector in paper Table 1 not copied this pass.,false,,,,,Nominally dry capsules; Ar pressure medium.,,879.15,1387.15,606,C,200000000,101325,400000000,200,MPa,unknown,,,unconstrained,internally_heated_pressure_vessel,,2.951209e-06,-5.53,0.16,unknown,-5.53,log10_m2/s,151700,3200,unknown,151.7,kJ/mol,,,,,D=D0*exp(-Ea/RT),8.314,,,,,,,,,,LA-ICP-MS,diffusion_couple,fs-LA-MC-ICP-MS,true,none,true,false,recommended,Crystal-side vacancy (A-site) mechanism 606–1114 C; most runs 200 MPa.,"Slower of two Li mechanisms. Profile length is set by the interstitial process (DDB000004). Authors: for natural-sample length-scale clocks, use interstitial D.","provenance=post2010_new; vacancy DLiA from the same multispecies fit as DDB000004. PDF-QA 2026-08-31: MATCH vs CC-BY PDF Eq.22 (log10D0=-5.53±0.16, Ea=151.7±3.2 kJ/mol, m2/s, 606–1114 C, [001]). Table 1 oxides not copied.",equation,"Holycross, M.",2026-08-31,checked,Pohl2024,"Pohl, F.; Behrens, H.; Oeser, M.; Marxer, F.; Dohmen, R.",2024,Li diffusion in plagioclase crystals and glasses – implications for timescales of geological processes,European Journal of Mineralogy,36,985-1003,10.5194/ejm-36-985-2024,Abstract; Eq. 22 (CC-BY HTML 2026-08-31)
DDB000006,1.0.0,isothermal_d,,Li,,,,tracer,none,unspecified,melt,Albite melt,,,,melt_simple,,,false,false,Albite melt; SiO2=68.4;Al2O3=19.5;Na2O=11.9,wt_pct_oxide,68.4,,19.5,,,,,,,,11.9,,,,,,,anhydrous_total=99.8,,,,,,,1183.15,1183.15,1183.15,1183.15,K,100000,100000,100000,0.1,MPa,,,,,,960,,,,,,,,,,,,,,,,,,7.2e-10,-9.14266787281,,,7.2e-10,m2/s,,,,radiotracer,thin_film,Residual activity,true,,,false,use_with_caution,,,provenance=compilation_2010; v0_source=zhang_table1; Type_of_dif_as_printed=Tracer; Type_of_exp_as_printed=thin source; Analytical_as_printed=Residual activity; R unstated in spreadsheet; compiler gas_constant_used_j_mol_k=8.314,supplement,"Holycross, M.",2026-08-31,draft,Jambon1978EPSL 37; 445,Jambon,1978,,Earth and Planetary Science Letters,37,445,10.1016/0012-821x(78)90060-2,"Zhang 2010 Table 1 xls, Entry# 2"
DDB000007,1.0.0,isothermal_d,,Li,,,,tracer,none,unspecified,melt,Albite melt,,,,melt_simple,,,false,false,Albite melt; SiO2=68.4;Al2O3=19.5;Na2O=11.9,wt_pct_oxide,68.4,,19.5,,,,,,,,11.9,,,,,,,anhydrous_total=99.8,,,,,,,1063.15,1063.15,1063.15,1063.15,K,100000,100000,100000,0.1,MPa,,,,,,900,,,,,,,,,,,,,,,,,,6.8e-10,-9.16749145754,,,6.8e-10,m2/s,,,,radiotracer,thin_film,Residual activity,true,,,false,use_with_caution,,,provenance=compilation_2010; v0_source=zhang_table1; Type_of_dif_as_printed=Tracer; Type_of_exp_as_printed=thin source; Analytical_as_printed=Residual activity; R unstated in spreadsheet; compiler gas_constant_used_j_mol_k=8.314,supplement,"Holycross, M.",2026-08-31,draft,Jambon1978EPSL 37; 445,Jambon,1978,,Earth and Planetary Science Letters,37,445,10.1016/0012-821x(78)90060-2,"Zhang 2010 Table 1 xls, Entry# 3"
DDB000008,1.0.0,isothermal_d,,Li,,,,tracer,none,unspecified,melt,Albite melt,,,,melt_simple,,,false,false,Albite melt; SiO2=68.4;Al2O3=19.5;Na2O=11.9,wt_pct_oxide,68.4,,19.5,,,,,,,,11.9,,,,,,,anhydrous_total=99.8,,,,,,,958.15,958.15,958.15,958.15,K,100000,100000,100000,0.1,MPa,,,,,,900,,,,,,,,,,,,,,,,,,1e-10,-10.0000004039,,,1e-10,m2/s,,,,radiotracer,thin_film,Residual activity,true,,,false,use_with_caution,,,provenance=compilation_2010; v0_source=zhang_table1; Type_of_dif_as_printed=Tracer; Type_of_exp_as_printed=thin source; Analytical_as_printed=Residual activity; R unstated in spreadsheet; compiler gas_constant_used_j_mol_k=8.314,supplement,"Holycross, M.",2026-08-31,draft,Jambon1978EPSL 37; 445,Jambon,1978,,Earth and Planetary Science Letters,37,445,10.1016/0012-821x(78)90060-2,"Zhang 2010 Table 1 xls, Entry# 4"
DDB000009,1.0.0,isothermal_d,,Li,,,,tracer,none,unspecified,melt,Albite melt,,,,melt_simple,,,false,false,Albite melt; SiO2=68.4;Al2O3=19.5;Na2O=11.9,wt_pct_oxide,68.4,,19.5,,,,,,,,11.9,,,,,,,anhydrous_total=99.8,,,,,,,855.15,855.15,855.15,855.15,K,100000,100000,100000,0.1,MPa,,,,,,900,,,,,,,,,,,,,,,,,,2.3e-11,-10.6382725936,,,2.3e-11,m2/s,,,,radiotracer,thin_film,Residual activity,true,,,false,use_with_caution,,,provenance=compilation_2010; v0_source=zhang_table1; Type_of_dif_as_printed=Tracer; Type_of_exp_as_printed=thin source; Analytical_as_printed=Residual activity; R unstated in spreadsheet; compiler gas_constant_used_j_mol_k=8.314,supplement,"Holycross, M.",2026-08-31,draft,Jambon1978EPSL 37; 445,Jambon,1978,,Earth and Planetary Science Letters,37,445,10.1016/0012-821x(78)90060-2,"Zhang 2010 Table 1 xls, Entry# 5"
DDB000010,1.0.0,isothermal_d,,Li,,,,tracer,none,unspecified,melt,Albite melt,,,,melt_simple,,,false,false,Albite melt; SiO2=68.4;Al2O3=19.5;Na2O=11.9,wt_pct_oxide,68.4,,19.5,,,,,,,,11.9,,,,,,,anhydrous_total=99.8,,,,,,,742.15,742.15,742.15,742.15,K,100000,100000,100000,0.1,MPa,,,,,,57600,,,,,,,,,,,,,,,,,,3.6e-12,-11.4436979614,,,3.6e-12,m2/s,,,,radiotracer,thin_film,Residual activity,true,,,false,use_with_caution,,,provenance=compilation_2010; v0_source=zhang_table1; Type_of_dif_as_printed=Tracer; Type_of_exp_as_printed=thin source; Analytical_as_printed=Residual activity; R unstated in spreadsheet; compiler gas_constant_used_j_mol_k=8.314,supplement,"Holycross, M.",2026-08-31,draft,Jambon1978EPSL 37; 445,Jambon,1978,,Earth and Planetary Science Letters,37,445,10.1016/0012-821x(78)90060-2,"Zhang 2010 Table 1 xls, Entry# 6"
